Time,REF,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,dT_REF,dT_S01,dT_S02,dT_S03,dT_S04,dT_S05,dT_S06,dT_S07,dT_S08,dT_S09,dT_S10,dT_S11,dT_S12,dT_S13,dT_S14,dT_S15,dT_S16,dT_S17,dT_S18,dT_S19
2026-04-27 20:03:51.020,29.7265819,29.7928078,29.7602798,29.6300678,29.8500754,29.8560428,29.6849625,29.7072505,29.8103479,29.6876993,29.8198115,29.6379879,29.6729812,29.7316257,29.7372477,29.5751685,29.5947652,29.7602546,29.5839389,29.5336761,0.0,0.0662258999999991,0.0336978999999999,-0.0965141000000002,0.1234935000000021,0.1294609000000015,-0.0416193999999983,-0.0193313999999986,0.0837660000000006,-0.0388826000000008,0.0932296000000008,-0.0885940000000005,-0.0536007000000005,0.0050437999999992,0.0106658000000017,-0.1514133999999991,-0.1318166999999981,0.0336727000000003,-0.1426429999999996,-0.1929057999999983
2026-04-27 20:04:51.020,29.7273443,29.7791402,29.7236879,29.6386403,29.8554972,29.8556779,29.6777479,29.7157409,29.7895306,29.6679254,29.7939236,29.6597663,29.7129428,29.7344901,29.7395045,29.5598611,29.5411092,29.7483808,29.5693215,29.5140931,0.0,0.0517959000000018,-0.003656399999997,-0.0887039999999999,0.1281528999999999,0.1283336000000012,-0.0495963999999986,-0.0116033999999984,0.0621863000000004,-0.0594188999999971,0.0665793000000007,-0.0675779999999974,-0.0144014999999981,0.0071457999999999,0.0121602000000002,-0.1674831999999995,-0.1862350999999975,0.021036500000001,-0.1580227999999977,-0.2132511999999984
2026-04-27 20:05:51.020,29.7400512,29.7777627,29.7236064,29.6273113,29.8584862,29.8539555,29.6851171,29.7184491,29.7984626,29.6711911,29.8266858,29.6701763,29.6768344,29.7221725,29.7512027,29.5654943,29.536288,29.7683712,29.5848549,29.5209796,0.0,0.0377115000000003,-0.0164447999999985,-0.1127399000000011,0.1184350000000016,0.1139043000000015,-0.0549341000000005,-0.021602099999999,0.0584114000000006,-0.0688600999999984,0.0866346,-0.0698748999999985,-0.0632167999999993,-0.0178787000000006,0.0111515000000004,-0.1745568999999989,-0.2037632000000009,0.0283200000000007,-0.1551963,-0.2190715999999994
2026-04-27 20:06:51.020,29.7231503,29.787397,29.7195458,29.7263068,29.8576536,29.874654,29.6774384,29.741547,29.8507217,29.6587453,29.8055995,29.6807674,29.6627494,29.7493103,29.7748564,29.5988637,29.5364945,29.8081214,29.6130981,29.5326396,0.0,0.0642466999999982,-0.0036045000000015,0.0031564999999993,0.1345032999999986,0.1515036999999992,-0.0457119000000005,0.0183967000000002,0.1275714000000007,-0.0644050000000007,0.0824491999999992,-0.0423828999999997,-0.0604009000000012,0.0261600000000008,0.0517061000000005,-0.1242866000000013,-0.1866558000000004,0.0849711000000006,-0.1100522000000019,-0.1905107000000008
2026-04-27 20:07:51.020,29.7247488,29.7844743,29.7171473,29.668367,29.8680188,29.8632804,29.6726275,29.7463677,29.815755,29.6644932,29.8086969,29.6642221,29.6705836,29.7448879,29.7721776,29.572707,29.5357511,29.7506451,29.5830707,29.5271884,0.0,0.0597254999999989,-0.0076014999999998,-0.0563818000000004,0.1432700000000011,0.1385316000000003,-0.0521212999999995,0.0216188999999999,0.0910061999999989,-0.0602556000000014,0.0839481000000006,-0.0605267000000004,-0.0541651999999999,0.0201390999999979,0.0474287999999987,-0.1520417999999992,-0.1889977000000016,0.0258962999999994,-0.1416781,-0.1975604000000004
2026-04-27 20:08:51.020,29.7112375,29.7586117,29.6956972,29.6061337,29.8231054,29.8789372,29.6596876,29.6977877,29.7766352,29.6675915,29.7854654,29.6780695,29.6405718,29.7108598,29.7155895,29.5384036,29.5357894,29.7284271,29.5620997,29.4993491,0.0,0.0473742000000001,-0.0155402999999978,-0.1051037999999984,0.1118679,0.1676997,-0.0515498999999977,-0.0134498,0.0653977000000018,-0.0436459999999989,0.0742279000000003,-0.0331679999999998,-0.0706656999999992,-0.0003776999999978,0.0043520000000008,-0.1728339000000005,-0.1754481000000005,0.0171896000000018,-0.1491377999999983,-0.2118883999999994
2026-04-27 20:09:51.020,29.7109808,29.7694096,29.7135157,29.6173212,29.8486202,29.8450287,29.6656289,29.6920945,29.7920702,29.6534042,29.7858026,29.6189816,29.6429893,29.7465388,29.7311176,29.5567268,29.5207191,29.736677,29.5695066,29.4992821,0.0,0.0584287999999979,0.002534899999997,-0.0936596000000022,0.1376393999999976,0.1340478999999987,-0.0453519,-0.0188863000000019,0.0810893999999997,-0.0575766000000008,0.0748217999999987,-0.0919992,-0.0679915000000015,0.0355579999999982,0.0201367999999995,-0.1542540000000016,-0.1902617000000006,0.0256961999999987,-0.1414742000000011,-0.211698700000003
2026-04-27 20:10:51.020,29.7641493,29.7686541,29.700153,29.6192789,29.8396992,29.8443992,29.6588888,29.712503,29.7861732,29.6674576,29.798503,29.6847924,29.6625909,29.7384615,29.7359854,29.5579354,29.5405443,29.7533868,29.5879638,29.515249,0.0,0.0045047999999994,-0.0639962999999994,-0.1448703999999985,0.0755498999999986,0.0802499000000018,-0.1052604999999999,-0.051646299999998,0.0220239000000006,-0.0966917000000009,0.0343537000000004,-0.0793569000000005,-0.1015583999999982,-0.0256878,-0.0281638999999991,-0.206213899999998,-0.2236049999999991,-0.0107624999999984,-0.176185499999999,-0.2489002999999989
2026-04-27 20:11:51.020,29.725028,29.7663656,29.6936912,29.6199046,29.8440472,29.8403525,29.6594159,29.7043998,29.782961,29.6719483,29.7931045,29.623203,29.6524388,29.7583386,29.7326393,29.537831,29.5256297,29.7573558,29.5664214,29.5074561,0.0,0.041337600000002,-0.0313367999999982,-0.1051233999999965,0.1190192000000003,0.1153245000000033,-0.0656120999999991,-0.0206281999999973,0.057933000000002,-0.0530796999999978,0.0680765000000001,-0.101824999999998,-0.0725891999999994,0.0333106,0.0076113000000006,-0.1871969999999976,-0.1993982999999985,0.0323278000000009,-0.1586065999999988,-0.2175718999999993
2026-04-27 20:12:51.020,29.713045,29.7710862,29.6973589,29.6235921,29.8292886,29.8344236,29.6575309,29.6891657,29.7914258,29.647247,29.7853302,29.6180824,29.6558583,29.707939,29.7365322,29.5524409,29.5376683,29.760321,29.5605204,29.5120775,0.0,0.0580411999999981,-0.0156860999999999,-0.0894529000000012,0.1162436000000006,0.1213785999999998,-0.0555140999999999,-0.0238793000000008,0.0783807999999979,-0.0657980000000009,0.0722851999999996,-0.0949626000000023,-0.0571867000000025,-0.0051060000000013,0.0234871999999981,-0.1606041000000004,-0.175376700000001,0.047276,-0.1525245999999995,-0.2009675000000008
